Id,Label,timeset,mode,act_type,nat,colour,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,clustering,triangles,eigencentrality
Conftrasporto-Confcommercio,,,1,Conftrasporto-Confcommercio,ITALY,"#B85D6F",1,1,6,0.345646,0.393384,0,0.013026,0.093663,4,0.003245,0,0,0,0.108674
european union constituency,european union constituency,,2,constituency/group,EUROPEAN UNION,"#5C9A5C",57,110,5,0.466192,0.624555,4937,0.510167,0.070953,3,0.149793,0,0,0,0.695348
italy constituency,italy constituency,,2,constituency/group,ITALY,"#B85D6F",73,174,5,0.526104,0.70598,6188.5,0.848478,0.118005,4,0.19577,0,0,0,1
france constituency,france constituency,,2,constituency/group,FRANCE,"#6A886D",3,4,7,0.255361,0.287296,259,0.006782,0.000943,0,0.009624,0,0,0,0.01479
malta constituency,malta constituency,,2,constituency/group,MALTA,"#FF8502",1,2,1,1,1,0,0,0,1,0.006452,1,0,0,0.001536
regional / global constituency,regional / global constituency,,2,constituency/group,REGIONAL / GLOBAL,"#FFFB31",10,10,5,0.349333,0.385369,1029.5,0.026027,0.00362,5,0.028848,0,0,0,0.052282
austria constituency,austria constituency,,2,constituency/group,AUSTRIA,"#944863",2,3,1,1,1,1,0,0,2,0.009417,2,0,0,0.003218
germany constituency,germany constituency,,2,constituency/group,GERMANY,"#717F75",3,4,7,0.262525,0.29353,259,0.010732,0.001493,6,0.010037,0,0,0,0.016161
turkey constituency,turkey constituency,,2,constituency/group,TURKEY,"#D16D79",1,1,1,1,1,0,0,0,7,0.006452,3,0,0,0.001536
poland constituency,poland constituency,,2,constituency/group,POLAND,"#FFE428",2,3,1,1,1,1,0,0,8,0.009417,4,0,0,0.003218
spain constituency,spain constituency,,2,constituency/group,SPAIN,"#AF6729",2,2,1,1,1,1,0,0,9,0.009417,5,0,0,0.003218
brazil constituency,brazil constituency,,2,constituency/group,BRAZIL,"#377EB6",1,1,1,1,1,0,0,0,10,0.006452,6,0,0,0.001536
united kingdom constituency,united kingdom constituency,,2,constituency/group,UNITED KINGDOM,"#E879A3",3,3,1,1,1,3,0,0,11,0.012383,7,0,0,0.005051
united states constituency,united states constituency,,2,constituency/group,UNITED STATES,"#EF7DB1",3,4,1,1,1,3,0,0,12,0.012383,8,0,0,0.005051
